Player_Name,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Matches_Batted,Not_Outs,Runs_Scored,Balls_Faced,Half_Centuries,Fours,Sixes,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Player_Role,Fantasy_Points_Per_Match
Harshal Patel,9.554166666666667,87.65583333333332,37.7225,9.361666666666666,23.6575,93.0,14.0,236.0,184.0,0.0,15.0,14.0,93.0,1915.0,2764.0,114.0,2.0,Bowler,33.924731182795696
Harshit Rana,0.6666666666666666,33.333333333333336,30.46666666666667,9.033333333333333,19.466666666666665,9.0,1.0,2.0,3.0,0.0,0.0,0.0,9.0,156.0,231.0,9.0,0.0,Bowler,25.666666666666668
Heinrich Klaasen,34.07,151.3975,0.0,0.0,0.0,20.0,3.0,577.0,339.0,3.0,37.0,34.0,17.0,0.0,0.0,0.0,0.0,Batsman,35.6
Himanshu Sharma,0.0,0.0,0.0,9.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,28.0,0.0,0.0,Bowler,6.0
Ishan Kishan,24.706666666666663,114.42888888888888,0.0,0.0,0.0,92.0,6.0,2324.0,1735.0,15.0,220.0,103.0,92.0,0.0,0.0,0.0,0.0,Batsman,31.195652173913043
Ishant Sharma,2.0714285714285716,59.88214285714285,40.29357142857143,8.559285714285714,27.23785714285714,71.0,17.0,56.0,62.0,0.0,4.0,2.0,102.0,2165.0,2925.0,84.0,0.0,Bowler,21.274509803921568
Jasprit Bumrah,3.909090909090909,62.82272727272727,27.45,7.581818181818182,20.644545454545455,121.0,21.0,58.0,67.0,0.0,4.0,1.0,121.0,2766.0,3392.0,148.0,2.0,Bowler,31.289256198347108
Jayant Yadav,2.857142857142857,27.25142857142857,33.57142857142857,6.558571428571428,29.571428571428573,20.0,1.0,40.0,36.0,0.0,2.0,1.0,20.0,390.0,445.0,8.0,0.0,Bowler,12.7
Jaydev Unadkat,5.172857142857143,58.39714285714285,23.76928571428571,9.687142857142858,16.12,94.0,14.0,173.0,140.0,0.0,14.0,6.0,94.0,1944.0,2870.0,91.0,0.0,Bowler,26.425531914893618
Jhye Richardson,7.5,62.5,39.0,10.63,22.0,3.0,0.0,15.0,24.0,0.0,2.0,0.0,3.0,66.0,117.0,3.0,0.0,Bowler,28.0
Jitesh Sharma,23.673333333333332,147.94666666666666,0.0,0.0,0.0,28.0,3.0,579.0,370.0,0.0,46.0,35.0,28.0,0.0,0.0,0.0,0.0,Batsman,24.964285714285715
Jonny Bairstow,31.962,151.848,0.0,0.0,0.0,41.0,3.0,1308.0,914.0,9.0,137.0,55.0,41.0,0.0,0.0,0.0,0.0,Batsman,39.829268292682926
Jos Buttler,34.406666666666666,145.2188888888889,0.0,0.0,0.0,97.0,10.0,3234.0,2182.0,19.0,321.0,149.0,97.0,0.0,0.0,0.0,0.0,Batsman,41.329896907216494
Joshua Little,0.0,0.0,42.0,8.65,29.14,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,204.0,294.0,7.0,0.0,Bowler,17.5
K.S Bharat,21.1,118.36000000000001,0.0,0.0,0.0,10.0,2.0,199.0,163.0,1.0,12.0,8.0,10.0,0.0,0.0,0.0,0.0,Batsman,23.5
KL Rahul,43.098181818181814,129.79454545454544,0.0,0.0,0.0,119.0,20.0,4221.0,3141.0,34.0,359.0,170.0,114.0,0.0,0.0,0.0,0.0,Batsman,43.66386554621849
Kagiso Rabada,8.512857142857142,88.83285714285715,23.595714285714287,8.434285714285714,16.624285714285715,71.0,11.0,186.0,179.0,0.0,16.0,6.0,71.0,1614.0,2257.0,109.0,6.0,Bowler,42.267605633802816
Kane Williamson,30.92777777777778,107.86666666666666,0.0,2.111111111111111,0.0,77.0,17.0,2101.0,1667.0,18.0,182.0,64.0,77.0,18.0,31.0,0.0,0.0,Batsman,33.33766233766234
Karn Sharma,5.34,60.50090909090909,20.924545454545452,8.348181818181818,14.205454545454545,76.0,15.0,319.0,276.0,0.0,18.0,14.0,75.0,1363.0,1857.0,70.0,2.0,Bowler,28.19736842105263
Kartik Tyagi,2.375,58.332499999999996,60.6925,10.815,32.86,19.0,3.0,13.0,16.0,0.0,1.0,0.0,19.0,398.0,662.0,15.0,0.0,Bowler,19.842105263157894
Khaleel Ahmed,0.14285714285714285,7.142857142857143,23.397142857142857,9.475714285714286,15.905714285714286,44.0,0.0,1.0,7.0,0.0,0.0,0.0,44.0,1000.0,1445.0,59.0,0.0,Bowler,33.63636363636363
